,0,1
0,😍,0.2104520679705034
1,😭,0.16101314523885862
2,RT @BlossomBeautyEd: 💜 WAXING MODELS 💜 tomorrow at 5pm looking for legs • standard bikini • underarm • facial waxing. If you have hair in a…,0.2508496312920808
3,😴😴😴😴,0.14645719781981406
4,decked at her laugh 😭😭😭 https://t.co/z7c3csScsC,0.14908624559153577
5,RT @kezdugdale: Love an Ann Black Email 🌹👌🏼👏🏼 https://t.co/iQuvqvRkRu,0.27489579993587687
6,@bbcrivercity Love this show highlight of my Tuesday evening after work 😀😀😀,0.27624238537992946
7,"RT @rosscolquhoun: A case study of a Scottish Tory politician:

❌ Failing to turn up to discuss the impact of Brexit at the Scottish Affair…",0.1843539596024367
8,"RT @Napier_Hockey: 🏆 SEMI-FINAL 🏆

The 1s take on Abertay 1s in the semi-final of the cup tomorrow and we’d love to have your support down…",0.2600833600512985
9,@burkeandhare ...Tracking down M. Patterson to the Magdalene asylum was superb! Brilliant use of source material and fab endnotes. Bravo! ☺,0.2091054825264508
10,@homelesshorse @MrMalky But surely you have to take a cat for walkies🚶🏿🐈. 😜,0.20583520359089452
11,"@bethmorrisss I know, it was the best part of the day 😂 doing well, pretending to be an adult is easier than I thou… https://t.co/Eqfmo1ZoNz",0.1811478037832639
12,I just luv my friends 🌷💗,0.24360371914075027
13,RT @JamTarts: Happy Wayne Foster Day! ⚽️🎈🎉 https://t.co/3FVma6PcAs,0.2998396922090414
14,RT @Princessofwifi: This is so funny 😂💀 https://t.co/djE66j3Jft,0.16787431869188846
15,RT @ellelindsay_xo: Want to spoil my mum for Mother's Day but she's SO FUSSY😭,0.16101314523885862
16,@ChloeArthur_ 😂😂😂,0.20949022122475155
17,"RT @rosscolquhoun: A case study of a Scottish Tory politician:

❌ Failing to turn up to discuss the impact of Brexit at the Scottish Affair…",0.1843539596024367
18,@hollyreillyxo Tidy😍😍😍,0.29740301378647005
19,"RT @rosscolquhoun: A case study of a Scottish Tory politician:

❌ Failing to turn up to discuss the impact of Brexit at the Scottish Affair…",0.1843539596024367
20,"RT @declandalgleish: I'm a hearts fan but I genu listen to rangers songs on a daily basis, best songs in football😂⚽️🇬🇧",0.2548893876242386
21,RT @gleed_kiera: Tallonds 💅🏽 https://t.co/YLnt8d4egB,0.19185636421930108
