0,😍,0.1588832858,
1,😭,0.1025359936,
2,"I fucking love you, @Lesdoggg

I really just needed to tell you that ✌️",0.1431703574,
3,Bruno Mars - Live In Harlem is incredible. Coolest guy alive 😎.,0.1452166922,
4,Sass level: expert 😂 https://t.co/TLiSWbUyzt,0.1254841774,
5,And that you did! Thanks for the laughs 👍🏻 https://t.co/1xAnnAlCy7,0.1474091939,
6,Told him I’m not going out then he does this 😭😭😭 https://t.co/C9mLFGY4F0,0.0889424834,
7,The beach is classsss 😊🌅🎥🌴,0.2419790982,
8,@ChrisWisniewsk1 It be great😀 thanks Mate👍,0.1889205584,
9,@hisotalus Or male colleagues calling you ladies......😐,0.0809763941,
10,@ChrisWisniewsk1 Oh Thanks Chris. I wish😂😂😂,0.157787035,
11,When you plan to go out for a couple then end up steamin😬🙈,0.1550829496,
12,"Dave does the dab.
I'm a bit disappointed, my man ! Honestly, the phrase alone sounds like a porno 😁😁😁 https://t.co/uvu2KxvM4f",0.2077760725,
13,When ur mum texts you from New York asking what makeup you want 😍😍 thank u,0.208433823,
14,"Magaaaa booked with my gal, another holiday @abbeymarko 👭💗☀️😈🏖",0.2445370167,
15,"I hate wearing bras, they hurt my back and the straps dig in to my skin, might just stop wearing them non stop 🤨❌‼️",0.1291383469,
16,"@joannaccherry Scotland loves you, and that’s all that really matters! 😉 🏴󠁧󠁢󠁳󠁣󠁴󠁿",0.1431703574,
17,@alexmcniven @ScotlandSky @ScottishFA What gave it away 😜😜,0.1758386319,
18,When leaving drinks turn into a bit of a session and now you don’t know what your name is. 🍻,0.1467514434,
19,@mmarianop El moderno Prometeo 💕,0.15552145,
20,The excitement for Cammy's birthday weekend is sooooo real!!! Cannot wait to see the smiles on his face for the whole weekend!!! 😁😁😁💞💞💞,0.369801944,
21,#Siri thinks she’s gonna win. I never quit. #Scottish accent activate 😂 (sorry my Scots fam 🤭) https://t.co/fyHXUQbhog,0.1254841774,
22,"It's a fitting tribute to Jack that he finally seen the boy's lift the Holy Grail. 🇳🇬 💚 🏆

RIP Jack https://t.co/ESup65V3Ju",0.2298472557,
23,When ur in the house having a party with Alexia and ur dads controlling her from Spain on his phone 😫😤😂 @bigscougs,0.099612658,
24,Why does some idiot choose to run about the train track when I’m trying to get home 🤦🏼‍♀️🤦🏼‍♀️ 🚂,0.1276035957,
25,Wow honestly makes a massive change staying in for the weekend 😲💁🏼‍♀️,0.1281882628,
26,@L0s3roftheyear @SteelerFayy Hud on.... how am I gettin the tab 😂,0.1254841774,
27,@molly_ella_pups hi der!! I a pal off @paddyscousedog ❤️❤️🙋‍♂️🙋‍♂️,0.3075348973,
28,My favourite line from Shrek 2 is “some gender confused wolf” fucking howling 😂😭,0.1186874223,
29,😂😂😂😂💩🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/vY5G4StY40,0.1654607908,
30,@mrdavidhaye 👏🏻👏🏻nice night of boxing well done to your lads 👌🏻🥊,0.2264854199,
31,@nellclrkin She loves you 😘😘 Louise Bonnici number one fan,0.2117956588,
32,When 1 turns into 10 😊😊😊😊😊,0.3446612585,
33,"You know I luv ye , I always huv...(in a really bad accent)😜🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/IixLBgePbd",0.1425856903,
34,@SteelerFayy @L0s3roftheyear You cannot go to hive 😂,0.1254841774,
35,@Denald Menu mewah 😍,0.1588832858,
36,#TheEgyiptianKing #MoSalah even being mentioned on #LastLeg #LFC #YNWA 😁,0.1421471899,
37,@PupZathin You'll get 'em soon enough 😘,0.1605642038,
38,I ❤️Jason Bateman. That is all,0.1638529562,
39,@scottm1901 hope they dipped his float aswell. 😂,0.1254841774,
40,"If anyone has any pictures of videos of @samjefferson69 last night please send me them, I will pay good money 😭😂",0.1186874223,
41,@adulescent @mouldycake @marksandspencer @schuh @gucci @Radley_London @newlook Also love the coat! 😍,0.1588832858,
42,"🔥 @ Edinburgh, United Kingdom https://t.co/DYIOZuJqaH",0.1194913396,
43,@Brendanmuir10 Should've messaged you earlier man 😭,0.1025359936,
44,"📷 revel_house | clean bandit @ Edinburgh, United Kingdom https://t.co/73xKuD9ZwL",0.1407586056,
45,@dannywilliamsx @georgialxx_ @SteelerFayy Naw 😂 what’s the hedge fir?,0.1254841774,
46,@TheSPFLRadar One of my only skills in life is ‘not bad at twitter’. Delighted this was up to standard 🎉,0.1632682891,
47,This is so funny 😂😂😂 https://t.co/jpgkyOCZ6k,0.157787035,
48,This 👏 is 👏 an 👏 important 👏 tweet 👏 as 👏 you 👏 can 👏 tell 👏 from 👏 these 👏 emojis 👏,0.5653730907,
49,So could go out tnight 😭😭,0.0957392385,
50,"Last night in the Burgh 👭💕 @ Edinburgh, United Kingdom https://t.co/enWPtJhADz",0.1893590587,
