"@LesleyMillercyp @BromleyBeau Say what you mean Lesley, say what you mean 😉",14,23,59,,
"yaaaaaaaa, you look so good, https://t.co/rbBUd9SsNK",14,23,59,,
12/2/18 https://t.co/eTk2Zn18NJ,14,23,59,,
Well said👏 https://t.co/Fhol2b0mQV,14,23,58,,
@jimmyg1972 @cececelinee Hahahahaha,14,23,58,,
kurwa dwa w jednym https://t.co/oEZxBfZRgW,14,23,58,,
12/2/18 https://t.co/YfERe8izfx,14,23,57,,
"Also, if you think about it, @ChukaUmunna is about as far away from being a Corbynista as it’s possible to be whils… https://t.co/NpCGhItHWM",14,23,57,,
Waaah 😭💖🌌 #SleeplessInSeattle,14,23,57,,
Gemma Collins is actually the gift that keeps on giving,14,23,57,,
@theverysimong I want a perm.,14,23,56,,
If you could put them on the website at midnight that’d be grand... https://t.co/pcI4U8Tz14,14,23,56,,
"@Chops_Top_Fives Brilliant session on @marcrileydj tonight too, always my barometer.",14,23,56,,
12/2/18 https://t.co/Hpft4qjT52,14,23,56,,
@rdemes @BBSRC Welcome to the the mad house!,14,23,56,,
@shawnsholyass danielle:-) https://t.co/5QJYLURIyY,14,23,56,,
This has scarred me and I wasn’t even in the room. Please America stop this! This needs to stop now. That’s the sou… https://t.co/NLeG737v8b,14,23,55,,
"Can personally attest to her attention to detail, dedication to being right, and persistence! To say nothing of her… https://t.co/3vfedpROa0",14,23,55,,
Convinced I'm going to cough my lungs up at this rate,14,23,55,,
voting for #HoldinMeBack by @ShawnMendes for #BestLyrics at the #iHeartAwards,14,23,55,,
"You can now find us on @ReverbNation for free streaming of our music, videos and full gig listings https://t.co/iR22vtRZ9Z",14,23,55,,
@danielleemanson Hahahahahahaha I’m decked!! Don’t like flowers anyway they die after about 2 days,14,23,54,,
Yet more Americans killing Americans- gun control is what is required not going after so called Islamic Terrorists… https://t.co/YHnv0EGrdA,14,23,53,,
This is why we can’t advance faster technologically - there’s always someone still using a fucking out dated method of doing things. 🙄,14,23,53,,
12/2/18 https://t.co/TrLnuEkaLR,14,23,53,,
@AceAtLarge Until you work that out you might want to get the guns out of their hands....,14,23,52,,
"Our lives are lived between madness and secrets... Our secrets make us who we are. G.J. Paterson, Bird of Paradise",14,23,52,,
"Makes me so sad that my little brother is growing up so quickly, he’s honestly 12 going on 22😭",14,23,52,,
"One more from the Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 trip.
#Edinburgh in BnW
#Photography by me
https://t.co/VxUKPYvyGI https://t.co/FKeqRivdMz",14,23,51,,
"18 this year, already..... this is just so heartbreaking, yet nothing will be done. https://t.co/un0ZcCVfss",14,23,51,,
yass my business cards arrived https://t.co/Ajv8qEQi02,14,23,51,,
"Justo no dia que decido lavar o cabelo,tem uma vento do capiroto com chuva / neve,se não ficar gripada estarei de parabéns",14,23,51,,
"@Chops_Top_Fives Wow, dead jealous.",14,23,51,,
Canny find a letter dated the last 3 months with my address on it as it’s 2018 so I get my bills via email like mos… https://t.co/wegjuDeANw,14,23,51,,
12/2/18 https://t.co/SNEbAXRrvJ,14,23,50,,
"Folk cannae be taking this seriously. I like Yogi, but he’d be lucky to get a job at a Scottish Championship club.… https://t.co/3Zk0NfMyY8",14,23,50,,
@libbykadxms 🍻 https://t.co/ePmcN7gjmb,14,23,49,,
@BryanIsNotFunny Happy palentines,14,23,48,,
@JoeMcleod93 Great to have you with us! Cheers Chef,14,23,48,,
https://t.co/PPPd5YYNsL,14,23,47,,
@carriesymonds Sounds good to me. Go Boris! 👍🏼,14,23,47,,
@notjufy @cipojadek XD. nie wszyscy ludzie wyrażający swoje zdanie w internecie są dla atencji kochanie,14,23,46,,
If your sitting beside us you must be clean! With a sneaky wee bite added in. Brother loving 😂 https://t.co/phYULFJh1L,14,23,44,,
When he takes you to the place where you had your first date and even wears the same outfit...… https://t.co/U2EYAjuUcE,14,23,44,-3.1995615,55.9520149
"@Anna_Soubry @RoundLike @Anna_Soubry won her seat by 863 votes in the 2017 GE, down from 4,287 votes in 2015. A 3.2… https://t.co/63Y5RpGtiC",14,23,44,,
"@andrewrobertso5 MY HERO, absolutely unreal again lad. Swanned ur CL debut. Keep going son 👏🏻👏🏻 YNWA 🔴🏴󠁧󠁢󠁳󠁣󠁴󠁿",14,23,43,,
🙋🏽‍♀️ https://t.co/7UiCivUecE,14,23,43,,
"Fell asleep at 7 and just got up, heavy confused ❌",14,23,41,,
"The guitar poured out its soul, its history, its dreams, its pain, its victories, its secrets. The guitar’s strings… https://t.co/zHKu1eUlBr",14,23,41,,
Happy Valentine’s Day to all the people we’ve met &amp; wed over the last year. It’s been amazing to celebrate love in… https://t.co/6eEznVFtWi,14,23,40,,
@jamesinscot @edtheatres @MissSaigonUK Thank you mate! Cx,14,23,40,,
🤝 https://t.co/rMCAlM2T1A,14,23,40,,
I've got a new oncoming migraine symptom that threw me off and now I suffer,14,23,39,,
Just finished the last episode of Gossip Girl &amp; I don’t know what to do with myself😭 The Best Series Ever. 💋,14,23,39,,
@KateNora92 I’m very upset that he said “violets are blue” before “roses are red”,14,23,39,,
a ja kogokolwiek https://t.co/k7o120ZfXP,14,23,38,,
Jimmy Saville.Thanks.#SperoMeliora https://t.co/jjoYeuMYCo,14,23,38,,
@katie_freeman @christinaemoss This. Wonderful 😬,14,23,38,,
"@whats_opera_doc There’s another possibility - it’s overworked people finding it hard to say no to requests, becaus… https://t.co/8GzQfkvaG7",14,23,37,,
@neymarjr diving again ?? Pft maybe should change rules to a straight red for a dive #cheat,14,23,37,,
#MyEUValentines is almost over and with that #600daysinLimbo and counting and not willing to give up the fight. https://t.co/8ycldSgKNw,14,23,37,,
